CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
LINK-001547,Manhattan,107,7,40.797248,-73.969681,Link Installed; Connecting Power and Fiber,133626,2640 Broadway,10025,mn-07-133626,,10/15/2017,Upper West Side,1056481,1018720019,1018700,"(40.797248, -73.969681)"
LINK-001552,Manhattan,107,7,40.797702,-73.969244,Link Active!,120395,210 West 101st,10025,mn-07-120395,06/27/2017,05/13/2017,Upper West Side,1056485,1018720043,1018700,"(40.7977016599, -73.9692439318)"
LINK-001553,Manhattan,107,6,40.798018,-73.969557,Link Installed; Connecting Power and Fiber,133620,2661 Broadway,10025,mn-07-133620,,09/10/2017,Upper West Side,1056504,1018730010,1018700,"(40.798018, -73.969557)"
LINK-001554,Manhattan,107,6,40.798650,-73.969093,Link Active!,134106,235 West 102st,10025,mn-07-134106,07/20/2017,06/20/2017,Upper West Side,1056558,1018747501,1019100,"(40.79865, -73.969093)"
LINK-001555,Manhattan,107,6,40.799042,-73.968809,Link Active!,134421,2697 Broadway,10025,mn-07-134421,11/03/2017,09/10/2017,Upper West Side,1056548,1018740052,1019100,"(40.79904235, -73.96880907)"
LINK-001556,Manhattan,107,7,40.798954,-73.968326,Link Active!,120393,216 West 103st,10025,mn-07-120393,07/07/2016,06/17/2016,Upper West Side,1056545,1018740043,1019100,"(40.798954, -73.968326)"
LINK-001557,Manhattan,107,7,40.799331,-73.968232,Link Active!,107810,2704 Broadway,10025,mn-07-107810,07/07/2016,06/11/2016,Upper West Side,1056563,1018757501,1019100,"(40.79933067, -73.96823224)"
LINK-001558,Manhattan,107,7,40.799630,-73.967970,Link Active!,120392,234 West 104st,10025,mn-07-120392,11/02/2016,10/14/2016,Upper West Side,1056574,1018750046,1019100,"(40.7996299, -73.96796962)"
LINK-001594,Manhattan,107,7,40.800300,-73.967833,Link Active!,134112,2732 Broadway,10025,mn-07-134112,10/03/2017,08/25/2017,Upper West Side,1056600,1018760046,1019100,"(40.80030025, -73.96783287)"
LINK-001595,Manhattan,107,7,40.800581,-73.967782,Link Active!,120391,2740 Broadway,10025,mn-07-120391,07/11/2016,06/24/2016,Upper West Side,1056608,1018770015,1019100,"(40.800581, -73.967782)"
LINK-001597,Manhattan,107,6,40.800476,-73.968186,Link Active!,134423,2737 Broadway,10025,mn-07-134423,10/06/2017,08/25/2017,Upper West Side,1056602,1018760058,1019100,"(40.80047593, -73.96818631)"
